文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K1,复杂度-K2,复杂度-K3,复杂度-K4,复杂度-K5,复杂度-K6+,短语长度-SYNLE（69）,短语长度-SYNNP（70）,短语密度-DRNP（76）,短语密度-DRVP（77）,短语密度-DRPP（79）,句子长度-DESSL（06）,句子结构-DRPVAL（80）,句子结构-DRNEG（81）,句子结构-DRINF（83）,句法相似-SYNSTRUTa（74）,句法相似-SYNSTRUTt（75）,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05
1.txt,152,14,1,59.24900055,2.395999908,92.903,3.226,3.226,0.645,0.0,0.0,2.071000099,0.488000005,309.2109985,296.053009,59.21099854,11.0,13.15799999,6.578999996,26.31599998,0.167999998,0.172999993,0.61500001,0.153999999,0.179000005,0.776000023,0.128999993,0.188999996,0.488000005,0.305999994,0.200000003,0.300000012,0.922999978,7.0,0.0
1.txt,151,12,2,66.0510025,2.302000046,88.0,6.667,2.667,1.333,0.667,0.667,2.917000055,0.73299998,324.5029907,211.9210052,99.33799744,12.58300018,0.0,6.623000145,19.86800003,0.138999999,0.143999994,0.545000017,0.090999998,0.143000007,0.61500001,0.246000007,0.197999999,0.601000011,0.32100001,0.713999987,0.555999994,0.908999979,6.0,0.0
1.txt,199,10,3,100.0490036,2.029999971,81.0,9.0,6.0,2.5,1.5,0.0,6.900000095,0.836000025,326.6329956,211.0549927,90.45200348,20.0,0.0,20.10099983,20.10099983,0.064000003,0.068999998,0.888999999,0.111000001,0.090999998,0.911000013,0.222000003,0.145999998,0.56099999,0.261000007,0.166999996,0.5,1.0,5.0,0.0
10.txt,193,17,1,89.56600189,2.27699995,88.144,6.186,2.062,3.093,0.0,0.0,2.529000044,0.672999978,316.0620117,238.3419952,93.26399994,11.4119997,0.0,10.36299992,15.54399967,0.160999998,0.162,0.437999994,0.063000001,0.043000001,0.547999978,0.112999998,0.090999998,0.688000023,0.272000015,0.333000004,0.222000003,0.75,8.5,0.707000017
10.txt,182,14,2,81.03500366,2.095000029,83.607,6.011,6.011,2.186,1.639,0.546,3.642999887,0.643999994,390.1099854,252.746994,104.3960037,13.0,5.494999886,0.0,32.96699905,0.144999996,0.137999997,0.462000012,0.231000006,0.128000006,0.352999985,0.118000001,0.136000007,0.231999993,0.252000004,0.0,0.555999994,1.0,7.0,4.243000031
10.txt,191,18,3,105.4850006,2.301000118,86.979,8.333,3.646,1.042,0.0,0.0,3.721999884,0.643000007,329.8429871,267.0159912,68.06300354,10.66699982,0.0,20.94199944,20.94199944,0.164000005,0.163000003,0.412,0.0,0.061000001,0.407999992,0.088,0.086000003,0.338999987,0.250999987,0.111000001,0.143000007,0.764999986,9.0,1.414000034
100.txt,202,17,1,106.9749985,2.260999918,84.653,8.416,3.96,1.485,1.485,0.0,2.70600009,0.592999995,351.4849854,242.5740051,99.01000214,11.88199997,9.901000023,9.901000023,24.75200081,0.163000003,0.164000005,0.437999994,0.125,0.082000002,0.522000015,0.052000001,0.081,0.246000007,0.232999995,0.100000001,0.166999996,0.875,8.5,0.707000017
100.txt,306,18,2,99.04299927,2.012000084,78.689,7.541,5.574,2.623,1.967,3.607,3.611000061,1.052999973,287.5820007,212.4179993,94.77100372,17.05599976,6.535999775,6.535999775,13.07199955,0.092,0.086000003,0.647000015,0.175999999,0.098999999,0.536000013,0.159999996,0.104000002,0.620000005,0.247999996,0.0,0.833000004,0.912,9.0,4.243000031
100.txt,244,18,3,107.7249985,2.246000051,86.122,7.347,3.265,1.224,1.224,0.408,4.943999767,0.538999975,344.2619934,254.0980072,77.8690033,13.55599976,4.09800005,12.29500008,28.68899918,0.109999999,0.128000006,0.412,0.118000001,0.085000001,0.432000011,0.056000002,0.07,0.372999996,0.214000002,0.375,0.57099998,0.764999986,9.0,4.243000031
11.txt,189,16,1,77.30200195,2.480000019,87.5,6.25,1.562,0.0,1.042,0.521,1.812999964,0.44600001,333.3330078,291.0050049,89.9469986,11.875,0.0,10.58199978,21.16399956,0.150000006,0.130999997,0.600000024,0.067000002,0.119000003,0.666999996,0.037999999,0.120999999,0.30399999,0.273000002,0.25,0.363999993,0.933000028,8.0,4.243000031
11.txt,199,14,2,69.28099823,2.188999891,86.567,5.97,3.98,1.99,0.995,0.498,4.356999874,0.609000027,366.8340149,236.1809998,115.5780029,14.21399975,5.025000095,5.025000095,10.05000019,0.140000001,0.115999997,0.61500001,0.077,0.157000005,0.600000024,0.071000002,0.115999997,0.393999994,0.26699999,0.0,0.333000004,0.808000028,7.0,1.414000034
11.txt,170,13,3,62.74000168,2.138999939,81.143,10.286,5.143,1.714,1.143,0.571,4.922999859,0.916999996,323.5289917,188.2350006,82.35299683,13.0,0.0,0.0,0.0,0.175999999,0.144999996,0.666999996,0.25,0.093000002,0.666999996,0.213,0.119999997,0.36500001,0.244000003,0.0,0.0,1.0,6.5,0.707000017
12.txt,208,20,1,83.12200165,2.09800005,82.464,9.479,2.37,2.37,1.422,1.422,4.0,0.704999983,322.1149902,221.154007,81.73100281,10.44999981,0.0,9.614999771,24.03800011,0.145999998,0.159999996,0.526000023,0.104999997,0.097000003,0.393000007,0.055,0.067000002,0.449999988,0.238999993,0.300000012,0.181999996,0.947000027,10.0,2.828000069
12.txt,129,12,2,79.52300262,2.214999914,84.091,10.606,3.788,1.515,0.0,0.0,3.332999945,0.843999982,333.3330078,209.302002,108.5270004,10.75,0.0,7.751999855,31.00799942,0.148000002,0.151999995,0.363999993,0.0,0.064999998,0.368999988,0.046,0.027000001,0.287999988,0.180000007,0.125,0.222000003,0.818000019,6.0,4.243000031
12.txt,197,12,3,69.51399994,2.318000078,86.869,8.586,2.02,1.01,0.0,0.505,2.667000055,0.575999975,350.2539978,258.8829956,60.91400146,16.58300018,5.076000214,10.15200043,10.15200043,0.089000002,0.108000003,0.726999998,0.273000002,0.199000001,0.754000008,0.246000007,0.173999995,0.5,0.308999985,1.600000024,1.5,0.954999983,6.0,1.414000034
13.txt,227,15,1,94.19300079,2.359999895,89.912,7.018,1.754,0.877,0.439,0.0,3.667000055,0.718999982,339.2070007,246.6959991,92.51100159,15.33300018,0.0,13.2159996,17.62100029,0.115999997,0.097000003,0.643000007,0.0,0.112999998,0.620999992,0.041999999,0.090999998,0.547999978,0.241999999,0.200000003,0.444000006,0.856999993,7.5,2.121000051
13.txt,151,12,2,88.6210022,2.085999966,83.117,5.844,7.143,0.649,1.299,1.298,2.917000055,0.583000004,384.1059875,258.2780151,72.84799957,12.58300018,13.24499989,13.24499989,19.86800003,0.119999997,0.133000001,0.635999978,0.181999996,0.135000005,0.630999982,0.108000003,0.111000001,0.352999985,0.231999993,0.125,0.286000013,0.954999983,6.0,1.414000034
13.txt,194,18,3,73.04799652,2.203000069,83.163,9.184,5.102,1.531,1.02,0.0,2.778000116,0.740999997,335.052002,226.8040009,87.6289978,10.88899994,5.15500021,10.30900002,15.46399975,0.159999996,0.159999996,0.352999985,0.118000001,0.127000004,0.488000005,0.104000002,0.115999997,0.52700001,0.296000004,0.273000002,0.38499999,0.940999985,9.0,1.414000034
14.txt,212,14,1,82.52700043,2.240999937,89.302,6.047,1.395,1.86,1.395,0.0,3.357000113,0.522000015,363.2080078,212.2640076,136.7920074,15.14299965,4.717000008,4.717000008,9.434000015,0.116999999,0.125,0.61500001,0.0,0.172000006,0.70599997,0.152999997,0.214000002,0.384000003,0.296000004,0.166999996,0.625,0.88499999,7.0,2.828000069
14.txt,186,15,2,92.94100189,2.210000038,89.362,6.383,1.064,1.064,0.532,0.532,3.933000088,0.654999971,333.3330078,268.8169861,75.26899719,12.33300018,5.375999928,0.0,10.75300026,0.086999997,0.093000002,0.5,0.071000002,0.151999995,0.400000006,0.052999999,0.111000001,0.455000013,0.243000001,0.286000013,0.5,0.82099998,7.5,3.536000013
14.txt,180,15,3,78.30400085,2.253999949,85.635,11.05,0.552,2.21,0.552,0.0,3.799999952,0.579999983,322.2219849,238.8890076,94.44400024,11.93299961,5.556000233,16.66699982,38.88899994,0.108000003,0.115000002,0.643000007,0.0,0.071999997,0.64200002,0.021,0.071999997,0.505999982,0.246000007,0.125,0.222000003,0.713999987,7.5,2.121000051
15.txt,206,16,1,99.375,2.431999922,90.952,4.762,0.952,1.905,1.429,0.0,3.875,0.684000015,286.4079895,237.8639984,72.81600189,12.93799973,0.0,14.56299973,19.41699982,0.167999998,0.167999998,0.532999992,0.067000002,0.109999999,0.57099998,0.104999997,0.114,0.402999997,0.284000009,0.713999987,0.555999994,0.76700002,8.0,1.414000034
15.txt,197,14,2,75.21099854,2.125,84.5,6.5,5.5,2.0,1.5,0.0,3.571000099,0.643999994,319.7969971,218.2740021,131.9799957,14.0710001,0.0,0.0,10.15200043,0.143000007,0.119999997,0.462000012,0.077,0.133000001,0.481999993,0.082000002,0.150000006,0.579999983,0.296999991,0.222000003,0.090999998,0.846000016,7.0,2.828000069
15.txt,184,12,3,80.48999786,2.220000029,87.568,6.486,2.703,1.622,1.622,0.0,3.832999945,0.625,364.1300049,239.1300049,65.21700287,15.25,0.0,0.0,10.86999989,0.097999997,0.123000003,1.0,0.090999998,0.135000005,0.922999978,0.137999997,0.162,0.388000011,0.275000006,0.200000003,0.181999996,0.908999979,6.0,1.414000034
16.txt,212,11,1,96.17099762,2.339999914,90.698,5.581,2.326,0.93,0.465,0.0,2.273000002,0.600000024,325.4719849,245.2830048,94.33999634,19.27300072,0.0,0.0,14.15100002,0.093999997,0.097999997,0.800000012,0.5,0.170000002,0.654999971,0.400000006,0.167999998,0.549000025,0.298999995,0.100000001,0.375,0.949999988,5.5,0.707000017
16.txt,193,17,2,84.47799683,2.444000006,88.66,7.216,2.577,1.031,0.515,0.0,3.470999956,0.564999998,383.4200134,259.0669861,67.35800171,11.35299969,0.0,5.181000233,36.26900101,0.138999999,0.150000006,0.375,0.0,0.090000004,0.442999989,0.061000001,0.057999998,0.52700001,0.263999999,0.333000004,0.273000002,0.75,8.5,4.949999809
16.txt,191,12,3,92.07800293,2.24000001,83.77,12.042,2.618,0.0,1.571,0.0,3.667000055,0.754999995,308.901001,246.072998,104.711998,16.0,0.0,15.70699978,15.70699978,0.127000004,0.128999993,0.545000017,0.181999996,0.093000002,0.768999994,0.137999997,0.108999997,0.337000012,0.25,0.5,0.666999996,0.908999979,6.0,0.0
17.txt,164,13,1,78.78600311,2.252000093,83.636,7.273,4.242,1.212,1.212,0.606,2.691999912,0.611999989,329.2680054,189.0240021,109.7559967,12.61499977,6.09800005,6.09800005,6.09800005,0.199000001,0.191,0.666999996,0.166999996,0.147,0.666999996,0.093000002,0.092,0.481000006,0.246999994,0.400000006,0.111000001,1.0,6.5,2.121000051
17.txt,160,12,2,104.5469971,2.089999914,82.716,6.79,4.938,2.469,2.469,0.0,4.333000183,0.704999983,312.5,237.5,93.75,13.33300018,12.5,0.0,12.5,0.061000001,0.074000001,0.726999998,0.181999996,0.103,0.537999988,0.092,0.097999997,0.321999997,0.202999994,0.286000013,0.57099998,0.773000002,6.0,1.414000034
17.txt,187,11,3,98.10399628,2.065000057,80.952,11.111,3.175,2.646,2.116,0.0,4.09100008,0.672999978,358.2890015,219.2510071,101.6039963,17.0909996,0.0,21.38999939,10.69499969,0.088,0.093999997,0.699999988,0.200000003,0.158999994,0.818000019,0.217999995,0.153999999,0.495999992,0.268999994,0.166999996,0.333000004,0.899999976,5.5,0.707000017
18.txt,192,12,1,143.9420013,2.250999928,86.528,6.736,3.109,1.036,1.554,1.036,3.332999945,0.853999972,302.0830078,255.2079926,98.95800018,16.25,0.0,20.83300018,20.83300018,0.112999998,0.108999997,0.455000013,0.090999998,0.048,0.462000012,0.061999999,0.037,0.338,0.181999996,0.5,0.833000004,0.635999978,6.0,2.828000069
18.txt,189,16,2,69.88600159,2.282000065,86.243,6.878,3.175,1.058,2.116,0.0,1.625,0.828000009,354.4970093,195.7669983,105.8199997,11.81299973,0.0,5.290999889,10.58199978,0.157000005,0.142000005,0.400000006,0.067000002,0.109999999,0.381000012,0.123999998,0.125,0.561999977,0.294,0.0,0.286000013,0.967000008,8.0,2.828000069
18.txt,228,11,3,72.43499756,2.161999941,84.279,6.987,6.114,1.747,0.873,0.0,4.636000156,1.136999965,285.0880127,197.3679962,87.71900177,20.63599968,4.386000156,4.386000156,26.31599998,0.089000002,0.072999999,0.5,0.400000006,0.142000005,0.600000024,0.381999999,0.157000005,0.597000003,0.277999997,0.0,0.166999996,1.0,5.5,0.707000017
19.txt,196,14,1,113.7450027,2.171000004,82.915,10.05,3.518,1.508,1.508,0.503,3.642999887,0.559000015,341.8370056,244.897995,76.53099823,14.14299965,0.0,10.20400047,10.20400047,0.119000003,0.128999993,0.61500001,0.153999999,0.098999999,0.518000007,0.141000003,0.082000002,0.449000001,0.25,0.181999996,0.42899999,0.88499999,7.0,1.414000034
19.txt,166,14,2,84.48000336,2.138999939,83.436,9.816,3.067,1.84,0.0,1.839,3.0,0.611000001,367.4700012,265.0599976,84.33699799,11.85700035,0.0,18.0720005,30.12000084,0.149000004,0.131999999,0.768999994,0.153999999,0.127000004,0.764999986,0.165000007,0.089000002,0.39199999,0.246999994,0.400000006,0.333000004,0.808000028,7.0,2.828000069
19.txt,166,11,3,97.93800354,2.092000008,81.928,9.036,4.217,3.614,1.205,0.0,2.726999998,0.708000004,337.348999,228.9160004,114.4580002,15.18200016,0.0,18.0720005,18.0720005,0.081,0.071999997,0.800000012,0.200000003,0.187999994,0.690999985,0.108999997,0.192000002,0.398999989,0.273000002,0.400000006,0.0,1.0,5.5,0.707000017
2.txt,163,15,1,73.51599884,2.270999908,87.349,8.434,0.602,1.807,1.205,0.0,3.73300004,0.80400002,300.6130066,233.1289978,85.88999939,10.86699963,0.0,0.0,24.54000092,0.218999997,0.172999993,0.42899999,0.214000002,0.165000007,0.453000009,0.094999999,0.129999995,0.38499999,0.287999988,0.125,0.25,0.92900002,7.5,2.121000051
2.txt,155,13,2,73.56800079,2.414000034,88.462,7.051,4.487,0.0,0.0,0.0,2.691999912,0.744000018,296.7739868,264.5159912,90.32299805,12.0,0.0,6.452000141,25.80599976,0.112999998,0.118000001,0.75,0.082999997,0.07,0.680000007,0.107000001,0.089000002,0.460000008,0.252000004,0.222000003,0.666999996,0.875,6.5,2.121000051
2.txt,202,13,3,67.87400055,2.217000008,83.824,6.863,5.392,2.451,1.471,0.0,4.922999859,0.61500001,376.2380066,227.7230072,113.8610001,15.61499977,0.0,4.949999809,9.901000023,0.119999997,0.128999993,0.666999996,0.416999996,0.202000007,0.773000002,0.280000001,0.134000003,0.541000009,0.293000013,0.333000004,0.75,0.875,6.5,0.707000017
20.txt,201,15,1,135.5780029,2.121999979,88.177,3.941,2.463,1.97,1.478,1.478,5.333000183,0.643000007,313.4330139,263.6820068,74.6269989,13.60000038,4.974999905,14.92500019,14.92500019,0.112999998,0.123000003,0.286000013,0.071000002,0.090999998,0.326000005,0.094999999,0.093999997,0.300000012,0.26699999,0.5,0.363999993,0.92900002,7.5,2.121000051
20.txt,217,16,2,98.96499634,2.167999983,84.932,6.393,3.653,3.196,1.37,0.457,4.563000202,0.651000023,322.5809937,225.8059998,115.2070007,13.56299973,0.0,4.607999802,4.607999802,0.127000004,0.114,0.600000024,0.26699999,0.147,0.513999999,0.104999997,0.107000001,0.391000003,0.273999989,0.100000001,0.125,0.899999976,8.0,1.414000034
20.txt,213,13,3,62.24000168,2.226000071,86.916,6.542,4.206,1.402,0.935,0.0,4.538000107,0.698000014,352.1130066,215.9620056,136.1499939,16.46199989,0.0,4.695000172,28.16900063,0.100000001,0.094999999,0.916999996,0.583000004,0.294,0.813000023,0.360000014,0.225999996,0.677999973,0.338,0.375,0.333000004,0.833000004,6.5,0.707000017
21.txt,237,15,1,80.31999969,2.444000006,89.451,5.063,2.954,0.844,1.266,0.422,4.0,0.708000004,337.553009,248.9450073,109.7050018,15.80000019,8.43900013,8.43900013,33.75500107,0.118000001,0.138999999,0.57099998,0.214000002,0.072999999,0.504999995,0.179000005,0.071999997,0.370999992,0.254000008,0.125,0.363999993,0.92900002,7.5,0.707000017
21.txt,173,16,2,81.03500366,2.194999933,84.971,5.202,4.046,1.734,1.156,1.734,2.75,0.712000012,352.6010132,277.4570007,57.8030014,11.0,5.78000021,0.0,34.68199921,0.119000003,0.123999998,0.467000008,0.067000002,0.074000001,0.437999994,0.028999999,0.068000004,0.495000005,0.213,0.200000003,0.286000013,0.833000004,8.0,2.828000069
21.txt,250,14,3,76.62000275,2.049000025,84.0,8.0,4.0,2.4,1.6,0.0,4.071000099,0.810000002,336.0,212.0,108.0,17.85700035,4.0,0.0,16.0,0.078000002,0.094999999,0.61500001,0.231000006,0.093999997,0.564999998,0.317999989,0.141000003,0.579999983,0.277999997,0.125,3.0,0.846000016,7.0,1.414000034
22.txt,229,18,1,110.8669968,2.348999977,90.948,6.034,0.431,1.293,0.862,0.0,2.667000055,0.537999988,314.4100037,257.6419983,74.23600006,12.72200012,0.0,17.46699905,21.83399963,0.100000001,0.119000003,0.528999984,0.118000001,0.101000004,0.551999986,0.143999994,0.103,0.439999998,0.268999994,0.5,0.726999998,0.79400003,9.0,2.828000069
22.txt,165,12,2,80.32099915,2.219000101,83.133,10.241,3.614,2.41,0.602,0.0,2.75,0.660000026,351.5150146,218.1820068,121.211998,13.75,0.0,0.0,18.18199921,0.138999999,0.120999999,0.635999978,0.0,0.092,0.646000028,0.137999997,0.085000001,0.437000006,0.25,0.082999997,0.200000003,0.908999979,6.0,1.414000034
22.txt,172,10,3,81.45800018,2.197999954,86.55,8.187,3.509,0.585,1.17,0.0,5.0,0.851000011,343.0230103,232.5579987,104.651001,17.29999924,0.0,17.44199944,23.25600052,0.083999999,0.085000001,0.444000006,0.111000001,0.129999995,0.666999996,0.178000003,0.131999999,0.51700002,0.252999991,0.5,0.666999996,0.833000004,5.0,0.0
23.txt,191,16,1,125.4280014,2.415999889,88.144,6.186,3.093,1.546,0.515,0.515,1.937999964,0.518000007,335.07901,246.072998,94.24099731,11.93799973,5.236000061,5.236000061,15.70699978,0.093000002,0.112999998,0.600000024,0.0,0.064999998,0.389999986,0.086000003,0.041000001,0.233999997,0.225999996,0.625,0.5,0.933000028,8.0,0.0
23.txt,175,14,2,89.27400208,2.313999891,85.795,7.386,3.409,1.705,1.705,0.0,3.642999887,0.592999995,377.1430054,245.7140045,97.14299774,12.5,0.0,17.14299965,0.0,0.138999999,0.130999997,0.768999994,0.153999999,0.169,0.717999995,0.046999998,0.141000003,0.307000011,0.273000002,0.111000001,0.111000001,0.808000028,7.0,5.657000065
23.txt,233,14,3,108.8320007,2.315000057,85.281,6.926,3.896,1.732,0.866,0.0,3.642999887,0.657000005,364.8070068,236.052002,81.54499817,16.7859993,8.583999634,8.583999634,12.8760004,0.104999997,0.103,0.38499999,0.231000006,0.142000005,0.423999995,0.118000001,0.093999997,0.546999991,0.256999999,0.0,0.666999996,0.768999994,7.0,0.0
24.txt,244,20,1,75.04000092,2.415999889,88.571,6.939,2.449,1.224,0.408,0.408,3.599999905,0.573000014,344.2619934,266.3930054,73.77100372,12.19999981,0.0,8.19699955,32.78699875,0.123000003,0.129999995,0.632000029,0.158000007,0.166999996,0.497000009,0.097000003,0.119999997,0.536000013,0.277999997,0.181999996,0.0,0.894999981,10.0,1.414000034
24.txt,194,12,2,110.7229996,1.973999977,77.32,9.794,4.124,3.093,3.608,2.061,3.5,0.800000012,335.052002,237.1130066,87.6289978,16.16699982,5.15500021,5.15500021,15.46399975,0.126000002,0.097999997,0.455000013,0.0,0.118000001,0.430999994,0.061999999,0.116999999,0.444999993,0.231000006,0.111000001,0.375,0.773000002,6.0,1.414000034
24.txt,185,15,3,76.01200104,2.111999989,86.096,5.882,6.952,0.535,0.535,0.0,5.333000183,0.802999973,389.1889954,205.4049988,113.5139999,12.33300018,5.40500021,5.40500021,5.40500021,0.150000006,0.143000007,0.643000007,0.214000002,0.141000003,0.64200002,0.241999999,0.157000005,0.632000029,0.294999987,0.25,0.273000002,1.0,7.5,2.121000051
25.txt,160,13,1,71.77400208,2.278000116,88.344,4.908,1.84,1.84,1.84,0.613,3.38499999,0.569000006,350.0,212.5,118.75,12.38500023,0.0,6.25,18.75,0.163000003,0.143999994,0.5,0.082999997,0.116999999,0.600000024,0.093000002,0.128000006,0.42899999,0.243000001,0.143000007,0.0,0.833000004,6.5,2.121000051
25.txt,176,12,2,87.00900269,2.269000053,89.205,5.682,3.409,0.568,0.568,0.0,3.917000055,0.490999997,357.9549866,289.7730103,102.2730026,14.66699982,0.0,0.0,39.77299881,0.138999999,0.119000003,0.635999978,0.273000002,0.165000007,0.492000014,0.108000003,0.129999995,0.453000009,0.256000012,0.25,0.375,0.726999998,6.0,1.414000034
25.txt,180,11,3,66.95500183,2.125999928,85.792,6.557,3.825,1.093,2.186,0.0,4.727000237,0.800000012,355.5559998,233.3329926,94.44400024,16.54500008,0.0,11.11100006,22.22200012,0.126000002,0.133000001,0.899999976,0.100000001,0.158000007,0.890999973,0.164000005,0.135000005,0.449000001,0.25,0.0,0.0,0.699999988,5.5,0.707000017
26.txt,237,13,1,71.76899719,2.430000067,87.448,8.368,1.674,0.837,0.837,0.836,5.538000107,0.718999982,350.2109985,261.6029968,92.82700348,18.2310009,0.0,0.0,37.97499847,0.122000001,0.112999998,0.75,0.416999996,0.189999998,0.827000022,0.400000006,0.185000002,0.547999978,0.319000006,0.42899999,0.400000006,0.875,6.5,0.707000017
