文本编号,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,年级
1.txt,0.200000003,0.300000012,0.922999978,1
10.txt,0.333000004,0.222000003,0.75,1
100.txt,0.100000001,0.166999996,0.875,1
11.txt,0.25,0.363999993,0.933000028,1
12.txt,0.300000012,0.181999996,0.947000027,1
13.txt,0.200000003,0.444000006,0.856999993,1
14.txt,0.166999996,0.625,0.88499999,1
15.txt,0.713999987,0.555999994,0.76700002,1
16.txt,0.100000001,0.375,0.949999988,1
17.txt,0.400000006,0.111000001,1.0,1
18.txt,0.5,0.833000004,0.635999978,1
19.txt,0.181999996,0.42899999,0.88499999,1
2.txt,0.125,0.25,0.92900002,1
20.txt,0.5,0.363999993,0.92900002,1
21.txt,0.125,0.363999993,0.92900002,1
22.txt,0.5,0.726999998,0.79400003,1
23.txt,0.625,0.5,0.933000028,1
24.txt,0.181999996,0.0,0.894999981,1
25.txt,0.143000007,0.0,0.833000004,1
26.txt,0.42899999,0.400000006,0.875,1
27.txt,0.666999996,0.444000006,0.954999983,1
28.txt,0.57099998,0.5,0.906000018,1
29.txt,0.25,0.555999994,0.922999978,1
3.txt,0.666999996,0.181999996,0.718999982,1
30.txt,0.400000006,0.5,0.643000007,1
31.txt,0.125,0.222000003,0.908999979,1
32.txt,0.333000004,0.375,0.731000006,1
33.txt,0.300000012,0.625,1.0,1
34.txt,0.286000013,0.375,0.818000019,1
35.txt,0.286000013,0.416999996,0.92900002,1
36.txt,0.111000001,0.25,0.916999996,1
37.txt,0.222000003,0.111000001,0.899999976,1
38.txt,0.444000006,0.111000001,0.933000028,1
39.txt,0.333000004,0.166999996,0.843999982,1
4.txt,1.200000048,0.625,0.888999999,1
40.txt,0.400000006,0.25,0.888999999,1
41.txt,0.333000004,0.400000006,0.708000004,1
42.txt,0.57099998,0.42899999,0.916999996,1
43.txt,0.333000004,0.57099998,1.0,1
44.txt,0.125,0.0,0.800000012,1
45.txt,0.42899999,0.400000006,0.949999988,1
46.txt,0.200000003,0.5,0.846000016,1
47.txt,0.082999997,0.181999996,0.764999986,1
48.txt,0.300000012,0.400000006,1.0,1
49.txt,0.5,0.222000003,0.864000022,1
5.txt,0.5,0.222000003,0.958000004,1
50.txt,0.600000024,0.42899999,0.699999988,1
51.txt,0.100000001,0.25,0.643000007,1
52.txt,0.57099998,0.363999993,0.846000016,1
53.txt,0.42899999,0.713999987,0.726999998,1
54.txt,0.286000013,0.444000006,0.75,1
55.txt,0.166999996,0.100000001,0.833000004,1
56.txt,0.222000003,0.286000013,0.818000019,1
57.txt,0.0,0.42899999,0.933000028,1
58.txt,0.166999996,0.42899999,0.944000006,1
59.txt,0.143000007,0.071000002,0.867999971,1
6.txt,0.375,0.077,0.791999996,1
60.txt,0.200000003,0.5,1.0,1
61.txt,0.0,0.375,0.88499999,1
62.txt,0.666999996,0.333000004,0.791999996,1
63.txt,0.666999996,0.5,0.944000006,1
64.txt,0.25,0.111000001,0.82099998,1
65.txt,0.333000004,0.153999999,0.788999975,1
66.txt,0.444000006,0.545000017,0.666999996,1
67.txt,0.0,0.100000001,0.908999979,1
68.txt,0.082999997,0.063000001,0.842000008,1
69.txt,0.57099998,0.333000004,0.768999994,1
7.txt,0.625,0.333000004,1.0,1
70.txt,0.166999996,0.090999998,0.922999978,1
71.txt,0.713999987,0.333000004,0.875,1
72.txt,0.363999993,0.583000004,0.899999976,1
73.txt,0.625,0.356999993,0.653999984,1
74.txt,0.333000004,0.0,0.846000016,1
75.txt,0.082999997,0.111000001,0.938000023,1
76.txt,0.25,0.444000006,0.856999993,1
77.txt,0.0,0.0,0.922999978,1
78.txt,0.077,0.125,0.675999999,1
79.txt,0.0,0.25,0.833000004,1
8.txt,0.0,0.125,0.75,1
80.txt,0.800000012,0.166999996,0.875,1
81.txt,0.125,0.286000013,0.786000013,1
82.txt,0.090999998,0.333000004,0.764999986,1
83.txt,0.25,0.200000003,0.75,1
84.txt,0.625,0.5,0.92900002,1
85.txt,0.294,0.416999996,0.885999978,1
86.txt,0.231000006,0.231000006,0.906000018,1
87.txt,0.200000003,0.200000003,0.882000029,1
88.txt,0.143000007,1.0,1.0,1
89.txt,0.444000006,0.444000006,0.893000007,1
9.txt,0.143000007,0.273000002,0.88499999,1
90.txt,0.111000001,0.25,0.899999976,1
91.txt,0.125,0.100000001,0.808000028,1
92.txt,0.5,0.5,0.842000008,1
93.txt,0.57099998,0.25,0.973999977,1
94.txt,0.600000024,0.222000003,0.875,1
95.txt,0.57099998,0.444000006,0.75,1
96.txt,0.125,0.125,0.684000015,1
97.txt,0.222000003,0.25,0.893000007,1
98.txt,0.181999996,0.5,0.75,1
99.txt,0.0,0.300000012,0.866999984,1
1.txt,0.713999987,0.555999994,0.908999979,2
10.txt,0.0,0.555999994,1.0,2
100.txt,0.0,0.833000004,0.912,2
11.txt,0.0,0.333000004,0.808000028,2
12.txt,0.125,0.222000003,0.818000019,2
13.txt,0.125,0.286000013,0.954999983,2
14.txt,0.286000013,0.5,0.82099998,2
15.txt,0.222000003,0.090999998,0.846000016,2
16.txt,0.333000004,0.273000002,0.75,2
17.txt,0.286000013,0.57099998,0.773000002,2
18.txt,0.0,0.286000013,0.967000008,2
19.txt,0.400000006,0.333000004,0.808000028,2
2.txt,0.222000003,0.666999996,0.875,2
20.txt,0.100000001,0.125,0.899999976,2
21.txt,0.200000003,0.286000013,0.833000004,2
22.txt,0.082999997,0.200000003,0.908999979,2
23.txt,0.111000001,0.111000001,0.808000028,2
24.txt,0.111000001,0.375,0.773000002,2
25.txt,0.25,0.375,0.726999998,2
26.txt,0.600000024,0.75,0.899999976,2
27.txt,0.0,0.111000001,0.856999993,2
28.txt,0.333000004,0.5,0.908999979,2
29.txt,0.090999998,0.286000013,0.916999996,2
3.txt,0.166999996,0.666999996,0.875,2
30.txt,0.5,0.75,0.875,2
31.txt,0.0,0.25,0.786000013,2
32.txt,0.286000013,0.600000024,0.856999993,2
33.txt,0.25,0.125,0.916999996,2
34.txt,0.111000001,0.455000013,0.916999996,2
35.txt,0.833000004,0.5,0.954999983,2
36.txt,0.200000003,0.42899999,0.962000012,2
37.txt,0.666999996,0.5,0.908999979,2
38.txt,0.181999996,0.286000013,0.875,2
39.txt,0.200000003,0.166999996,0.864000022,2
4.txt,0.25,0.0,0.888999999,2
40.txt,0.0,0.400000006,0.899999976,2
41.txt,0.214000002,0.222000003,0.899999976,2
42.txt,0.800000012,0.42899999,0.938000023,2
43.txt,0.111000001,0.100000001,0.852999985,2
44.txt,0.222000003,0.333000004,0.833000004,2
45.txt,0.5,0.300000012,0.906000018,2
46.txt,0.800000012,0.57099998,0.777999997,2
47.txt,0.090999998,0.286000013,0.906000018,2
48.txt,0.333000004,0.5,0.866999984,2
49.txt,0.300000012,0.5,0.938000023,2
5.txt,0.25,0.42899999,1.0,2
50.txt,0.25,0.875,0.824000001,2
51.txt,0.273000002,0.42899999,0.908999979,2
52.txt,0.42899999,1.0,0.875,2
53.txt,0.400000006,0.333000004,0.888999999,2
54.txt,0.090999998,0.666999996,0.791999996,2
55.txt,0.111000001,0.5,0.856999993,2
56.txt,0.25,0.5,1.0,2
57.txt,0.0,0.0,0.88499999,2
58.txt,0.200000003,0.200000003,0.818000019,2
59.txt,0.375,0.555999994,0.916999996,2
6.txt,0.166999996,0.5,0.949999988,2
60.txt,0.0,0.800000012,0.813000023,2
61.txt,0.0,0.666999996,0.824000001,2
62.txt,0.143000007,0.166999996,0.875,2
63.txt,0.75,0.100000001,0.916999996,2
64.txt,0.5,0.375,0.666999996,2
65.txt,0.090999998,0.273000002,0.899999976,2
66.txt,1.0,0.713999987,0.856999993,2
67.txt,0.125,0.375,1.0,2
68.txt,0.100000001,0.25,0.922999978,2
69.txt,0.75,0.333000004,1.0,2
7.txt,0.25,0.300000012,0.944000006,2
70.txt,0.333000004,0.333000004,0.800000012,2
71.txt,0.5,0.286000013,0.75,2
72.txt,0.0,0.0,0.786000013,2
73.txt,0.25,0.181999996,0.921000004,2
74.txt,0.077,0.111000001,0.882000029,2
75.txt,0.082999997,0.800000012,0.940999985,2
76.txt,0.0,0.0,0.875,2
77.txt,0.111000001,0.0,1.0,2
78.txt,0.75,0.5,0.643000007,2
79.txt,1.0,0.5,0.908999979,2
8.txt,0.0,0.0,0.916999996,2
80.txt,0.143000007,0.333000004,1.0,2
81.txt,0.307999998,0.600000024,0.815999985,2
82.txt,0.0,0.0,0.864000022,2
83.txt,0.153999999,0.214000002,0.921000004,2
84.txt,0.42899999,0.666999996,0.954999983,2
85.txt,0.286000013,0.200000003,1.0,2
86.txt,0.42899999,0.600000024,1.0,2
87.txt,0.143000007,0.222000003,0.808000028,2
88.txt,0.111000001,0.111000001,0.786000013,2
89.txt,0.222000003,0.25,0.843999982,2
9.txt,0.25,0.222000003,0.777999997,2
90.txt,0.100000001,0.200000003,0.906000018,2
91.txt,0.333000004,1.0,0.777999997,2
92.txt,0.143000007,0.5,1.0,2
93.txt,0.25,0.375,0.856999993,2
94.txt,0.214000002,0.5,0.866999984,2
95.txt,0.0,0.833000004,1.0,2
96.txt,0.0,0.625,0.971000016,2
97.txt,0.333000004,1.0,1.0,2
98.txt,0.0,0.0,0.888999999,2
99.txt,0.5,0.600000024,0.899999976,2
1.txt,0.166999996,0.5,1.0,3
10.txt,0.111000001,0.143000007,0.764999986,3
100.txt,0.375,0.57099998,0.764999986,3
11.txt,0.0,0.0,1.0,3
12.txt,1.600000024,1.5,0.954999983,3
13.txt,0.273000002,0.38499999,0.940999985,3
14.txt,0.125,0.222000003,0.713999987,3
15.txt,0.200000003,0.181999996,0.908999979,3
16.txt,0.5,0.666999996,0.908999979,3
17.txt,0.166999996,0.333000004,0.899999976,3
18.txt,0.0,0.166999996,1.0,3
19.txt,0.400000006,0.0,1.0,3
2.txt,0.333000004,0.75,0.875,3
20.txt,0.375,0.333000004,0.833000004,3
21.txt,0.125,3.0,0.846000016,3
22.txt,0.5,0.666999996,0.833000004,3
23.txt,0.0,0.666999996,0.768999994,3
24.txt,0.25,0.273000002,1.0,3
25.txt,0.0,0.0,0.699999988,3
26.txt,0.666999996,0.400000006,0.856999993,3
27.txt,0.5,0.5,0.888999999,3
28.txt,0.25,0.5,1.0,3
29.txt,0.200000003,0.333000004,0.833000004,3
3.txt,0.125,0.833000004,1.0,3
30.txt,0.286000013,0.600000024,0.922999978,3
31.txt,0.333000004,0.200000003,0.899999976,3
32.txt,0.713999987,1.0,0.916999996,3
33.txt,0.166999996,0.333000004,0.949999988,3
34.txt,0.800000012,1.200000048,0.908999979,3
35.txt,0.222000003,1.5,1.0,3
36.txt,0.222000003,0.25,0.735000014,3
37.txt,0.400000006,0.400000006,1.0,3
38.txt,0.400000006,0.111000001,0.864000022,3
39.txt,0.25,0.286000013,0.75,3
4.txt,0.143000007,0.166999996,0.963999987,3
40.txt,0.0,1.0,0.813000023,3
41.txt,0.181999996,0.25,1.0,3
42.txt,0.300000012,0.307999998,0.852999985,3
43.txt,0.0,0.25,0.916999996,3
44.txt,0.5,1.332999945,0.875,3
45.txt,0.200000003,0.42899999,0.846000016,3
46.txt,0.333000004,1.5,0.922999978,3
47.txt,0.166999996,0.5,0.908999979,3
48.txt,0.600000024,0.57099998,0.777999997,3
49.txt,0.090999998,0.181999996,0.800000012,3
5.txt,0.0,0.200000003,0.899999976,3
50.txt,0.300000012,0.5,0.808000028,3
51.txt,0.143000007,0.286000013,0.963999987,3
52.txt,0.286000013,0.375,0.899999976,3
53.txt,0.286000013,0.777999997,0.800000012,3
54.txt,0.0,0.222000003,0.92900002,3
55.txt,0.363999993,0.300000012,0.75,3
56.txt,0.400000006,0.666999996,0.856999993,3
57.txt,0.333000004,0.600000024,0.833000004,3
58.txt,0.100000001,0.111000001,0.933000028,3
59.txt,0.625,1.0,0.73299998,3
6.txt,0.125,0.5,0.938000023,3
60.txt,0.5,0.166999996,0.75,3
61.txt,0.0,0.5,0.916999996,3
62.txt,0.111000001,1.0,0.888999999,3
63.txt,0.166999996,0.25,0.938000023,3
64.txt,0.166999996,0.231000006,0.899999976,3
65.txt,0.375,0.416999996,0.824999988,3
66.txt,0.077,0.100000001,0.842000008,3
67.txt,0.143000007,0.166999996,1.0,3
68.txt,0.25,0.57099998,1.0,3
69.txt,0.333000004,0.333000004,0.962000012,3
7.txt,0.42899999,0.143000007,1.0,3
70.txt,0.166999996,0.5,0.893000007,3
71.txt,0.125,1.0,1.0,3
72.txt,0.0,0.42899999,0.82099998,3
73.txt,0.400000006,0.713999987,0.850000024,3
74.txt,0.0,0.125,0.833000004,3
75.txt,0.0,0.333000004,0.808000028,3
76.txt,0.090999998,0.333000004,0.922999978,3
77.txt,0.200000003,0.875,0.958000004,3
78.txt,0.5,1.399999976,1.0,3
79.txt,0.25,0.363999993,0.963999987,3
8.txt,0.400000006,0.625,0.800000012,3
80.txt,0.222000003,0.666999996,0.791999996,3
81.txt,0.222000003,0.713999987,0.908999979,3
82.txt,0.5,0.455000013,0.933000028,3
83.txt,0.333000004,0.375,0.800000012,3
84.txt,0.143000007,0.222000003,0.691999972,3
85.txt,0.111000001,0.286000013,0.788999975,3
86.txt,0.300000012,0.444000006,1.0,3
87.txt,0.0,0.0,0.813000023,3
88.txt,0.333000004,0.5,0.866999984,3
89.txt,0.181999996,0.856999993,0.856999993,3
9.txt,0.166999996,0.375,0.808000028,3
90.txt,0.222000003,1.667000055,0.777999997,3
91.txt,0.200000003,0.833000004,0.75,3
92.txt,0.0,0.200000003,0.949999988,3
93.txt,0.200000003,0.231000006,0.92900002,3
94.txt,0.400000006,0.222000003,0.666999996,3
95.txt,0.363999993,0.375,0.922999978,3
96.txt,0.125,0.166999996,0.875,3
97.txt,0.125,1.5,0.681999981,3
98.txt,0.111000001,0.400000006,0.846000016,3
99.txt,0.0,0.5,0.800000012,3
