文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K1,复杂度-K2,复杂度-K3,复杂度-K4,复杂度-K5,复杂度-K6+,年级
1.txt,59.24900055,2.395999908,92.903,3.226,3.226,0.645,0.0,0.0,1
10.txt,89.56600189,2.27699995,88.144,6.186,2.062,3.093,0.0,0.0,1
100.txt,106.9749985,2.260999918,84.653,8.416,3.96,1.485,1.485,0.0,1
11.txt,77.30200195,2.480000019,87.5,6.25,1.562,0.0,1.042,0.521,1
12.txt,83.12200165,2.09800005,82.464,9.479,2.37,2.37,1.422,1.422,1
13.txt,94.19300079,2.359999895,89.912,7.018,1.754,0.877,0.439,0.0,1
14.txt,82.52700043,2.240999937,89.302,6.047,1.395,1.86,1.395,0.0,1
15.txt,99.375,2.431999922,90.952,4.762,0.952,1.905,1.429,0.0,1
16.txt,96.17099762,2.339999914,90.698,5.581,2.326,0.93,0.465,0.0,1
17.txt,78.78600311,2.252000093,83.636,7.273,4.242,1.212,1.212,0.606,1
18.txt,143.9420013,2.250999928,86.528,6.736,3.109,1.036,1.554,1.036,1
19.txt,113.7450027,2.171000004,82.915,10.05,3.518,1.508,1.508,0.503,1
2.txt,73.51599884,2.270999908,87.349,8.434,0.602,1.807,1.205,0.0,1
20.txt,135.5780029,2.121999979,88.177,3.941,2.463,1.97,1.478,1.478,1
21.txt,80.31999969,2.444000006,89.451,5.063,2.954,0.844,1.266,0.422,1
22.txt,110.8669968,2.348999977,90.948,6.034,0.431,1.293,0.862,0.0,1
23.txt,125.4280014,2.415999889,88.144,6.186,3.093,1.546,0.515,0.515,1
24.txt,75.04000092,2.415999889,88.571,6.939,2.449,1.224,0.408,0.408,1
25.txt,71.77400208,2.278000116,88.344,4.908,1.84,1.84,1.84,0.613,1
26.txt,71.76899719,2.430000067,87.448,8.368,1.674,0.837,0.837,0.836,1
27.txt,86.05799866,2.354000092,87.432,5.464,2.186,2.732,1.639,0.0,1
28.txt,84.60700226,2.322000027,85.311,7.91,4.52,1.13,0.0,1.13,1
29.txt,99.85700226,2.484999895,93.048,2.139,1.604,1.604,0.535,0.535,1
3.txt,90.97899628,2.454999924,88.119,5.941,3.465,1.485,0.99,0.0,1
30.txt,79.08899689,2.094000101,84.722,9.028,0.0,2.083,2.083,1.388,1
31.txt,76.24900055,2.272000074,89.362,7.979,0.532,1.596,0.0,0.532,1
32.txt,79.76899719,2.358999968,86.5,7.0,4.5,0.5,1.0,0.5,1
33.txt,87.94000244,2.154999971,86.034,6.145,4.469,1.676,0.559,1.118,1
34.txt,113.7890015,2.378999949,90.476,4.762,2.976,1.19,0.0,0.595,1
35.txt,87.13500214,2.316999912,85.65,7.175,4.933,1.345,0.897,0.0,1
36.txt,88.46600342,2.289999962,88.995,6.699,1.914,1.435,0.957,0.0,1
37.txt,67.24700165,2.404000044,88.439,7.514,0.578,1.156,2.312,0.0,1
38.txt,74.9260025,2.426000118,91.667,4.63,0.926,0.926,0.926,0.463,1
39.txt,80.26200104,2.480999947,89.247,6.989,2.688,0.538,0.538,0.0,1
4.txt,60.00699997,2.367000103,85.489,8.833,2.839,1.577,0.946,0.315,1
40.txt,92.04799652,2.381000042,89.744,6.227,2.93,0.366,0.733,0.0,1
41.txt,95.44200134,2.232000113,84.27,8.989,2.247,2.247,1.124,1.124,1
42.txt,70.95600128,2.085999966,84.08,8.458,2.488,1.493,1.99,0.995,1
43.txt,90.67500305,2.279000044,83.152,10.326,3.804,0.543,1.63,0.543,1
44.txt,105.3249969,2.301000118,87.879,7.359,3.03,0.866,0.433,0.433,1
45.txt,75.52300262,2.358999968,86.275,7.843,0.654,2.614,1.961,0.654,1
46.txt,110.3379974,2.127000093,85.281,6.061,4.762,1.732,2.165,0.0,1
47.txt,74.23000336,2.382999897,90.355,6.599,1.015,1.015,1.015,0.0,1
48.txt,134.2749939,2.088999987,81.529,10.828,3.185,1.911,0.637,1.274,1
49.txt,73.68299866,2.467000008,90.667,4.667,2.0,1.333,1.333,0.0,1
5.txt,62.77099991,2.318000078,86.709,5.063,3.797,2.532,1.266,0.633,1
50.txt,87.6989975,2.267999887,88.889,6.763,3.865,0.0,0.483,0.0,1
51.txt,81.39800262,2.436000109,90.61,3.756,1.878,1.408,0.469,1.408,1
52.txt,106.663002,2.381000042,86.458,6.771,4.167,0.521,1.562,0.521,1
53.txt,113.189003,2.453000069,89.418,7.407,1.058,0.529,1.058,0.529,1
54.txt,79.01699829,2.338999987,90.155,4.663,4.145,0.518,0.518,0.0,1
55.txt,86.85099792,2.260999918,87.097,8.602,1.434,0.717,1.792,0.0,1
56.txt,72.25299835,2.296000004,84.817,9.424,2.618,1.047,1.047,0.524,1
57.txt,82.22200012,2.388999939,91.444,5.348,1.07,1.07,1.07,0.0,1
58.txt,73.27200317,2.111999989,76.647,17.964,2.994,1.198,1.198,0.0,1
59.txt,92.2440033,2.328000069,85.537,7.438,4.132,1.653,0.826,0.413,1
6.txt,70.61799622,2.328000069,88.679,6.289,1.887,1.258,1.258,0.629,1
60.txt,79.30899811,2.275000095,85.714,6.857,4.571,1.143,1.714,0.0,1
61.txt,67.5739975,2.308000088,89.447,4.523,4.02,0.503,1.508,0.0,1
62.txt,100.6029968,2.453999996,90.968,5.161,2.581,0.645,0.0,0.645,1
63.txt,79.2559967,2.390000105,90.496,6.198,2.066,1.24,0.0,0.0,1
64.txt,86.58799744,2.397000074,87.565,9.326,1.036,0.518,0.518,0.518,1
65.txt,93.72799683,2.308000088,87.342,6.751,2.11,1.688,1.266,0.422,1
66.txt,86.97299957,2.440999985,87.983,7.725,2.575,0.429,0.858,0.429,1
67.txt,74.19999695,2.181999922,86.973,6.513,3.448,1.916,0.383,0.766,1
68.txt,68.87400055,2.434000015,87.745,8.333,2.451,0.49,0.49,0.49,1
69.txt,89.41100311,2.243000031,85.106,7.234,5.532,0.851,0.426,0.426,1
7.txt,86.15299988,2.328000069,90.604,6.711,1.342,0.671,0.671,0.0,1
70.txt,89.10099792,2.361999989,89.175,5.155,3.093,1.031,1.031,0.515,1
71.txt,103.8310013,2.190999985,81.283,12.299,3.209,1.07,1.07,0.535,1
72.txt,74.20700073,2.306999922,87.19,6.612,3.719,0.826,1.653,0.0,1
73.txt,95.1969986,2.421999931,90.0,6.25,1.667,1.25,0.417,0.417,1
74.txt,101.0210037,2.332000017,87.162,7.432,2.703,1.351,1.351,0.0,1
75.txt,104.3460007,2.411999941,90.0,7.059,2.353,0.588,0.0,0.0,1
76.txt,73.40299988,2.463000059,93.305,2.929,2.929,0.418,0.418,0.0,1
77.txt,68.25499725,2.309000015,91.011,3.933,3.371,1.124,0.562,0.0,1
78.txt,76.76599884,2.01699996,85.271,4.651,4.264,2.326,1.938,1.551,1
79.txt,98.17099762,2.203999996,87.374,7.576,3.03,1.01,1.01,0.0,1
8.txt,79.10700226,2.178999901,89.017,6.936,1.734,1.734,0.578,0.0,1
80.txt,74.30500031,2.525000095,89.61,7.143,1.299,0.649,0.649,0.649,1
81.txt,80.07499695,2.410000086,88.172,6.989,3.763,0.0,0.538,0.0,1
82.txt,108.9779968,2.217000008,83.406,12.227,3.057,0.437,0.437,0.0,1
83.txt,76.37400055,2.448999882,92.386,4.061,2.03,1.015,0.508,0.0,1
84.txt,74.3219986,2.434999943,89.72,5.14,3.738,0.467,0.935,0.0,1
85.txt,74.48799896,2.371000051,88.506,6.897,2.682,1.149,0.383,0.383,1
86.txt,84.14800262,2.338999987,88.393,7.143,0.446,2.679,0.893,0.0,1
87.txt,105.2509995,2.332999945,84.507,7.512,5.164,1.408,0.469,0.469,1
88.txt,107.5680008,2.082000017,84.337,6.627,3.012,1.205,4.217,0.0,1
89.txt,69.35800171,2.375999928,88.824,5.882,1.176,2.353,0.0,0.588,1
9.txt,97.65799713,2.332000017,86.735,8.673,2.041,0.0,1.531,1.02,1
90.txt,80.32700348,2.309000015,86.667,8.718,2.564,1.026,1.026,0.0,1
91.txt,94.57900238,2.280999899,83.448,8.966,3.448,2.069,0.69,1.38,1
92.txt,115.9349976,2.411999941,89.434,7.547,1.887,0.377,0.377,0.0,1
93.txt,88.85900116,2.322999954,84.821,8.036,3.571,2.232,0.446,0.892,1
94.txt,79.15100098,2.201999903,84.659,9.659,2.273,2.273,0.568,0.568,1
95.txt,68.79199982,2.461999893,91.628,5.116,1.395,0.0,0.93,0.0,1
96.txt,83.43599701,2.289999962,89.529,3.665,2.618,1.571,1.571,1.047,1
97.txt,86.46299744,2.453000069,90.365,4.651,3.322,0.997,0.0,0.0,1
98.txt,109.7279968,2.328000069,89.583,7.292,2.083,0.0,0.521,0.521,1
99.txt,100.3339996,2.260999918,87.701,8.556,1.604,0.535,1.07,0.0,1
1.txt,66.0510025,2.302000046,88.0,6.667,2.667,1.333,0.667,0.667,2
10.txt,81.03500366,2.095000029,83.607,6.011,6.011,2.186,1.639,0.546,2
100.txt,99.04299927,2.012000084,78.689,7.541,5.574,2.623,1.967,3.607,2
11.txt,69.28099823,2.188999891,86.567,5.97,3.98,1.99,0.995,0.498,2
12.txt,79.52300262,2.214999914,84.091,10.606,3.788,1.515,0.0,0.0,2
13.txt,88.6210022,2.085999966,83.117,5.844,7.143,0.649,1.299,1.298,2
14.txt,92.94100189,2.210000038,89.362,6.383,1.064,1.064,0.532,0.532,2
15.txt,75.21099854,2.125,84.5,6.5,5.5,2.0,1.5,0.0,2
16.txt,84.47799683,2.444000006,88.66,7.216,2.577,1.031,0.515,0.0,2
17.txt,104.5469971,2.089999914,82.716,6.79,4.938,2.469,2.469,0.0,2
18.txt,69.88600159,2.282000065,86.243,6.878,3.175,1.058,2.116,0.0,2
19.txt,84.48000336,2.138999939,83.436,9.816,3.067,1.84,0.0,1.839,2
2.txt,73.56800079,2.414000034,88.462,7.051,4.487,0.0,0.0,0.0,2
20.txt,98.96499634,2.167999983,84.932,6.393,3.653,3.196,1.37,0.457,2
21.txt,81.03500366,2.194999933,84.971,5.202,4.046,1.734,1.156,1.734,2
22.txt,80.32099915,2.219000101,83.133,10.241,3.614,2.41,0.602,0.0,2
23.txt,89.27400208,2.313999891,85.795,7.386,3.409,1.705,1.705,0.0,2
24.txt,110.7229996,1.973999977,77.32,9.794,4.124,3.093,3.608,2.061,2
25.txt,87.00900269,2.269000053,89.205,5.682,3.409,0.568,0.568,0.0,2
26.txt,87.15599823,2.161999941,83.333,5.556,6.111,2.222,1.111,1.112,2
27.txt,75.17099762,2.467999935,89.349,5.325,1.775,1.775,0.592,0.0,2
28.txt,83.43299866,2.062000036,79.524,9.524,5.238,1.429,2.381,1.428,2
29.txt,85.50499725,2.187000036,83.553,9.211,3.947,0.658,2.632,0.0,2
3.txt,78.28299713,2.259000063,85.882,8.235,2.941,0.0,1.765,1.176,2
30.txt,144.8249969,2.288000107,81.935,11.613,3.871,1.29,1.29,0.0,2
31.txt,49.51499939,2.463000059,90.909,3.182,3.636,0.909,0.455,0.0,2
32.txt,85.20800018,2.069000006,77.419,10.484,8.065,2.419,0.806,0.0,2
33.txt,72.4469986,2.183000088,84.656,6.878,4.762,1.587,1.058,0.529,2
34.txt,54.71099854,2.40199995,91.617,5.389,2.395,0.0,0.0,0.0,2
35.txt,96.27200317,2.496000051,91.87,4.878,1.626,0.0,0.813,0.813,2
36.txt,75.10800171,2.230999947,86.74,8.287,1.657,1.657,1.105,0.552,2
37.txt,52.80599976,2.204999924,90.0,6.316,1.579,0.526,1.579,0.0,2
38.txt,102.2249985,2.302000046,84.058,7.246,4.831,2.415,0.0,1.449,2
39.txt,76.86799622,2.049000025,84.358,6.145,6.145,1.117,1.676,0.559,2
4.txt,72.92900085,2.351999998,88.344,4.908,4.294,1.227,1.227,0.0,2
40.txt,72.33300018,2.003999949,85.211,7.042,4.225,1.408,1.408,0.704,2
41.txt,87.14700317,2.187000036,86.957,5.314,3.382,1.449,1.449,0.0,2
42.txt,79.70600128,2.236000061,82.199,8.901,5.236,0.524,0.524,0.0,2
43.txt,77.85500336,2.190999985,83.735,9.036,3.012,1.807,1.205,0.0,2
44.txt,102.3430023,2.33100009,90.446,5.732,2.548,0.0,0.0,0.637,2
45.txt,68.36000061,2.512000084,91.975,4.938,0.617,0.617,0.617,0.0,2
46.txt,72.27200317,2.684000015,89.873,4.43,3.165,0.633,0.633,0.0,2
47.txt,90.22399902,2.336999893,85.612,7.914,4.317,0.719,1.439,0.0,2
48.txt,99.07800293,2.299999952,85.632,8.621,1.724,1.149,2.299,0.0,2
49.txt,101.2099991,2.121000051,81.25,9.167,5.833,2.083,0.417,0.834,2
5.txt,117.9860001,2.095999956,76.389,13.194,6.944,1.389,0.694,1.388,2
50.txt,84.21600342,2.276000023,84.434,7.547,6.132,0.472,0.943,0.0,2
51.txt,104.9339981,2.256000042,82.143,7.857,3.571,4.286,2.143,0.0,2
52.txt,111.1220016,2.270999908,83.673,8.163,2.721,3.401,1.361,0.0,2
53.txt,79.59300232,2.197999954,87.597,6.202,3.101,1.55,1.55,0.0,2
54.txt,91.35700226,2.072999954,85.638,7.979,3.191,2.66,0.532,0.0,2
55.txt,102.0830002,2.351000071,88.344,6.135,3.067,1.227,1.227,0.0,2
56.txt,118.5780029,2.11500001,82.199,7.853,5.759,2.618,0.524,1.047,2
57.txt,81.41600037,2.302999973,83.824,8.824,3.676,2.206,1.471,0.0,2
58.txt,48.20000076,2.273000002,88.439,7.514,2.89,0.578,0.578,0.0,2
59.txt,80.43099976,2.306999922,86.538,6.731,2.885,1.923,1.923,0.0,2
6.txt,109.2600021,2.346999884,88.71,4.839,4.032,1.613,0.806,0.0,2
60.txt,74.69000244,2.213999987,84.564,8.054,2.013,2.013,1.342,1.342,2
61.txt,69.23999786,2.305000067,87.764,5.485,4.641,1.266,0.844,0.0,2
62.txt,89.74199677,2.325999975,89.583,4.688,4.688,0.0,0.521,0.521,2
63.txt,77.66699982,2.35800004,87.356,8.046,3.448,0.575,0.575,0.0,2
64.txt,88.59600067,2.335000038,88.966,5.517,0.69,1.379,0.69,0.69,2
65.txt,110.4309998,1.93900001,76.126,8.559,7.207,3.153,1.351,3.153,2
66.txt,76.91600037,2.447000027,86.806,8.333,2.778,0.694,0.694,0.0,2
67.txt,87.48400116,2.026000023,83.099,8.451,2.113,1.408,2.817,2.112,2
68.txt,68.59999847,2.438999891,90.625,6.875,1.25,0.625,0.625,0.0,2
69.txt,80.43699646,2.40899992,87.333,8.667,0.0,2.0,1.333,0.0,2
7.txt,93.81800079,2.355000019,86.486,5.405,5.405,1.802,0.901,0.0,2
70.txt,73.67700195,2.177000046,85.455,7.879,2.424,1.818,1.818,0.606,2
71.txt,63.42200089,2.450999975,89.84,6.417,3.209,0.535,0.0,0.0,2
72.txt,79.6210022,2.375,90.196,3.268,2.614,1.307,1.961,0.0,2
73.txt,87.0019989,2.321000099,89.394,5.051,3.03,1.01,1.01,0.505,2
74.txt,85.9240036,2.40199995,87.195,10.366,1.22,1.22,0.0,0.0,2
75.txt,132.473999,2.395999908,87.805,7.317,3.049,0.61,0.61,0.0,2
76.txt,91.23600006,2.069000006,80.952,8.225,4.762,3.463,1.299,0.433,2
77.txt,62.84700012,2.305999994,87.023,6.87,3.053,2.29,0.763,0.0,2
78.txt,105.5950012,2.414999962,89.076,5.042,3.361,0.0,2.521,0.0,2
79.txt,95.18099976,2.280999899,85.795,8.523,3.409,0.568,0.568,0.568,2
8.txt,64.17299652,2.348999977,90.968,7.097,1.29,0.645,0.0,0.0,2
80.txt,79.15699768,2.131000042,85.443,9.494,1.266,2.532,0.633,0.633,2
81.txt,96.09400177,2.280999899,89.157,6.426,2.811,0.0,1.606,0.0,2
82.txt,74.06400299,2.424000025,87.222,6.667,3.333,0.556,1.111,0.556,2
83.txt,75.53900146,2.329999924,90.206,3.093,3.093,1.546,1.546,0.0,2
84.txt,64.81800079,2.332999945,86.826,8.383,2.994,1.198,0.599,0.0,2
85.txt,65.69599915,2.315000057,84.699,8.743,3.825,1.093,0.0,1.639,2
86.txt,98.83999634,1.89199996,76.395,12.017,4.721,3.004,1.288,1.716,2
87.txt,92.12999725,1.84800005,76.562,6.25,8.594,3.125,2.734,2.344,2
88.txt,110.098999,1.980000019,74.554,11.607,8.036,1.786,2.232,2.338,2
89.txt,111.3069992,2.028000116,77.155,11.207,5.172,3.879,1.724,0.862,2
9.txt,69.71499634,2.246999979,85.606,7.576,4.545,0.758,0.758,0.758,2
90.txt,98.9240036,2.01699996,79.565,6.957,8.696,2.609,0.87,0.435,2
91.txt,96.05899811,1.932999969,80.081,6.911,7.317,1.626,2.033,1.22,2
92.txt,91.31999969,2.255000114,83.408,7.623,4.036,2.691,1.345,0.896,2
93.txt,92.61000061,2.134000063,81.609,9.579,3.831,3.448,1.149,0.383,2
94.txt,97.04299927,2.130000114,84.462,8.765,4.382,0.797,1.195,0.398,2
95.txt,93.58100128,2.009000063,78.603,9.607,7.86,1.747,1.31,0.437,2
96.txt,97.19999695,1.917999983,76.695,10.593,5.085,4.237,1.271,1.695,2
97.txt,88.7009964,1.998999953,78.521,8.099,8.099,2.465,2.113,0.0,2
98.txt,84.3789978,1.879999995,76.779,8.989,5.243,4.494,2.622,1.873,2
99.txt,107.9550018,1.728000045,69.2,12.4,9.2,2.8,3.2,2.8,2
1.txt,100.0490036,2.029999971,81.0,9.0,6.0,2.5,1.5,0.0,3
10.txt,105.4850006,2.301000118,86.979,8.333,3.646,1.042,0.0,0.0,3
100.txt,107.7249985,2.246000051,86.122,7.347,3.265,1.224,1.224,0.408,3
11.txt,62.74000168,2.138999939,81.143,10.286,5.143,1.714,1.143,0.571,3
12.txt,69.51399994,2.318000078,86.869,8.586,2.02,1.01,0.0,0.505,3
13.txt,73.04799652,2.203000069,83.163,9.184,5.102,1.531,1.02,0.0,3
14.txt,78.30400085,2.253999949,85.635,11.05,0.552,2.21,0.552,0.0,3
15.txt,80.48999786,2.220000029,87.568,6.486,2.703,1.622,1.622,0.0,3
16.txt,92.07800293,2.24000001,83.77,12.042,2.618,0.0,1.571,0.0,3
17.txt,98.10399628,2.065000057,80.952,11.111,3.175,2.646,2.116,0.0,3
18.txt,72.43499756,2.161999941,84.279,6.987,6.114,1.747,0.873,0.0,3
19.txt,97.93800354,2.092000008,81.928,9.036,4.217,3.614,1.205,0.0,3
2.txt,67.87400055,2.217000008,83.824,6.863,5.392,2.451,1.471,0.0,3
20.txt,62.24000168,2.226000071,86.916,6.542,4.206,1.402,0.935,0.0,3
21.txt,76.62000275,2.049000025,84.0,8.0,4.0,2.4,1.6,0.0,3
22.txt,81.45800018,2.197999954,86.55,8.187,3.509,0.585,1.17,0.0,3
23.txt,108.8320007,2.315000057,85.281,6.926,3.896,1.732,0.866,0.0,3
24.txt,76.01200104,2.111999989,86.096,5.882,6.952,0.535,0.535,0.0,3
25.txt,66.95500183,2.125999928,85.792,6.557,3.825,1.093,2.186,0.0,3
26.txt,92.30999756,2.299000025,85.78,5.963,4.128,2.294,0.917,0.0,3
27.txt,96.02400208,2.407000065,94.839,3.226,1.29,0.0,0.645,0.0,3
28.txt,91.29100037,2.262000084,88.387,5.806,4.516,0.645,0.645,0.0,3
29.txt,81.94300079,2.029000044,78.605,10.233,7.442,2.326,0.93,0.0,3
3.txt,107.2220001,2.11500001,83.412,6.635,4.265,3.318,0.948,1.422,3
30.txt,89.51300049,2.23300004,85.572,7.463,4.478,0.995,1.493,0.0,3
31.txt,83.65499878,2.265000105,87.5,5.682,5.114,0.568,1.136,0.0,3
32.txt,85.30400085,2.220000029,86.175,5.53,4.147,2.304,0.922,0.922,3
33.txt,104.9069977,2.381999969,86.628,5.814,2.907,2.326,0.581,0.581,3
34.txt,122.4509964,2.155999899,79.602,7.96,5.97,1.99,1.493,2.489,3
35.txt,90.52799988,2.079999924,80.282,11.268,3.756,3.286,0.939,0.0,3
36.txt,101.5889969,2.039000034,77.665,9.137,7.614,3.553,1.523,0.508,3
37.txt,82.49900055,2.16899991,84.103,6.667,0.667,1.026,1.026,0.513,3
38.txt,88.93000031,1.976999998,74.771,10.55,5.505,3.67,4.128,1.376,3
39.txt,94.22799683,2.157999992,87.079,7.865,3.933,0.562,0.0,0.0,3
4.txt,83.30699921,2.430000067,88.725,7.843,1.961,0.49,0.98,0.0,3
40.txt,103.9990005,2.328999996,81.373,8.333,3.922,0.98,1.471,0.98,3
41.txt,82.27200317,2.28399992,86.937,6.306,4.054,0.901,1.351,0.0,3
42.txt,65.20800018,2.290999889,85.99,2.899,6.28,1.932,1.932,0.0,3
43.txt,66.55999756,2.325000048,87.5,6.641,2.734,1.953,0.781,0.0,3
44.txt,73.95999908,2.052999973,81.279,7.763,6.393,3.196,0.457,0.457,3
45.txt,60.69400024,2.334000111,86.047,9.767,3.256,0.0,0.93,0.0,3
46.txt,93.03900146,2.308000088,82.222,9.778,4.0,1.778,0.889,0.444,3
47.txt,81.59600067,2.220999956,87.179,6.154,3.077,1.538,0.513,1.026,3
48.txt,103.6340027,2.154000044,83.03,9.697,4.848,0.606,0.606,0.606,3
49.txt,69.84799957,2.246999979,88.479,5.991,3.226,1.382,0.922,0.0,3
5.txt,83.58799744,2.108999968,81.944,7.87,5.556,2.315,1.852,0.0,3
50.txt,79.41799927,2.427999973,89.95,7.035,1.005,0.503,1.005,0.0,3
51.txt,70.29199982,2.378999949,89.552,5.97,1.493,1.493,0.498,0.0,3
52.txt,80.40299988,2.239000082,85.052,8.247,4.124,0.515,1.546,0.515,3
53.txt,85.87799835,2.229000092,85.116,8.372,3.256,2.791,0.465,0.0,3
54.txt,85.2519989,2.357000113,89.268,7.317,1.951,0.976,0.488,0.0,3
55.txt,100.2220001,2.24000001,85.294,7.059,5.882,0.588,1.176,0.0,3
56.txt,81.6269989,2.22300005,84.135,8.173,5.288,0.481,0.962,0.0,3
57.txt,62.2840004,2.298000097,87.5,6.019,3.704,1.852,0.926,0.0,3
58.txt,90.45899963,2.375999928,86.636,5.53,5.53,1.382,0.0,0.0,3
59.txt,77.72399902,2.448999882,87.302,9.524,1.058,0.529,0.529,0.0,3
6.txt,91.10399628,2.279999971,88.889,5.556,3.535,2.02,0.0,0.0,3
60.txt,56.79899979,2.349999905,86.603,7.177,4.785,0.0,0.957,0.478,3
61.txt,89.82800293,2.118999958,80.526,8.421,6.316,1.053,1.579,0.526,3
62.txt,99.2009964,1.889000058,77.928,9.459,6.306,2.252,0.45,1.351,3
63.txt,92.59700012,2.388999939,89.952,3.349,3.828,0.957,0.478,0.478,3
64.txt,85.00900269,2.124000072,82.474,6.186,6.186,3.093,0.515,0.0,3
65.txt,74.4509964,2.471999884,92.275,3.863,0.858,1.288,0.858,0.0,3
66.txt,108.3860016,2.259000063,83.582,7.96,5.97,1.99,0.0,0.498,3
67.txt,84.78099823,1.978999972,80.392,6.863,4.902,3.922,2.941,0.98,3
68.txt,94.06400299,1.945000052,75.0,9.524,10.317,3.968,1.19,0.0,3
69.txt,87.94000244,2.046000004,80.851,8.511,3.191,4.61,1.418,1.419,3
7.txt,102.0680008,2.160000086,84.186,6.512,6.977,1.395,0.93,0.0,3
70.txt,99.46800232,1.886999965,77.122,10.701,7.749,2.952,1.476,0.0,3
71.txt,84.74199677,1.815999985,73.251,9.877,9.465,3.704,1.646,1.647,3
72.txt,102.5579987,1.784000039,71.255,8.907,6.883,5.263,4.858,2.835,3
73.txt,87.98300171,2.00999999,81.923,6.923,5.769,4.231,1.154,0.0,3
74.txt,87.46199799,2.102999926,83.857,8.072,6.278,0.448,0.897,0.448,3
75.txt,116.1139984,1.812000036,71.064,8.511,10.213,5.532,2.128,2.554,3
76.txt,98.71900177,1.815000057,70.498,9.579,10.345,5.364,2.682,1.532,3
77.txt,105.9079971,2.099999905,79.775,10.861,3.371,2.996,1.124,1.124,3
78.txt,97.42700195,2.061000109,76.923,11.111,5.556,2.991,1.709,1.281,3
79.txt,95.48400116,2.065999985,83.969,8.779,3.817,1.908,1.527,0.0,3
8.txt,73.25099945,2.142999887,79.339,10.744,7.438,0.826,1.24,0.413,3
80.txt,92.84700012,2.147000074,82.818,10.653,3.78,1.375,1.031,0.0,3
81.txt,103.461998,2.084000111,81.707,9.35,6.098,1.22,1.626,0.0,3
82.txt,90.67700195,2.032000065,80.903,9.722,5.556,1.042,2.778,0.0,3
83.txt,108.8320007,2.019999981,82.653,8.163,4.592,1.531,2.551,0.51,3
84.txt,83.23799896,2.190999985,84.052,9.052,2.586,2.586,0.862,0.0,3
85.txt,91.36499786,2.285000086,85.169,8.051,3.814,1.695,0.847,0.424,3
86.txt,80.28399658,2.056999922,81.818,8.696,5.138,2.767,1.186,0.395,3
87.txt,105.7369995,2.023999929,80.321,10.04,4.418,2.811,2.008,0.402,3
88.txt,132.0299988,2.094000101,79.032,10.081,6.855,1.613,2.419,0.0,3
89.txt,143.1779938,1.970999956,77.338,8.273,6.115,2.878,1.799,2.878,3
9.txt,105.8420029,2.40199995,87.293,6.077,3.315,1.105,0.552,0.552,3
90.txt,124.3479996,2.048000097,73.81,11.905,5.556,4.365,1.19,1.19,3
91.txt,85.65599823,1.730999947,72.653,9.388,7.347,3.673,3.265,3.264,3
92.txt,91.33899689,2.09100008,81.933,8.824,5.042,1.681,1.681,0.84,3
93.txt,91.26499939,2.207000017,86.149,7.095,5.068,0.338,1.014,0.0,3
94.txt,114.151001,2.052000046,81.275,7.57,6.375,3.187,1.594,0.0,3
95.txt,81.84999847,2.207999945,84.496,6.977,5.426,1.938,1.163,0.0,3
96.txt,96.38800049,2.194999933,82.937,7.54,4.762,2.778,1.19,0.794,3
97.txt,92.83899689,2.174999952,82.609,5.534,7.905,1.581,1.186,0.79,3
98.txt,91.61199951,2.058000088,80.729,12.5,3.646,1.042,2.083,0.0,3
99.txt,85.72399902,1.878000021,76.526,9.859,5.164,1.878,3.286,2.816,3
